"y","NAO","EA","WP","EP_NP","PNA","EA_WR","SCA","POL","ENSO_MEI","AO","AMO","PDO"
"1",0.28,1.41,0.57,-0.24,-1.19,-0.34,-1.14,1.6,-0.15,0.586,0.008,-0.44
"0",-0.27,-0.34,0.17,-0.24,0.57,0.3,0.58,-0.18,0.503,-0.226,-0.092,0.42
"0",1.57,-1.55,1.09,1.76,-0.04,-1.63,1.32,0.22,1.831,-0.082,-0.37,0.25
"0",1.03,-0.16,0.88,0.31,0.47,0.69,0.14,-1.7,-0.234,0.0127,0.047,-1.13
"0",-1.28,-0.71,1.64,-0.28,0.51,0.95,1.31,0.19,-1.508,-0.668,-0.35,-1.55
"2",0.44,-1.84,-1.32,0.02,0.9,0.15,1.69,0.74,0.454,-0.112,0.388,1.27
"0",-0.95,-0.96,0.96,1.74,-1.01,-0.08,0.39,-1.98,0.63,-0.625,-0.062,-1.03
"0",-0.07,0.77,0.78,0.44,-0.62,0.54,-0.19,-1.18,-1.396,0.255,0.019,0.19
"0",0.45,-1.81,1.62,2.32,0.32,1.29,0.53,-1.55,1.483,-0.255,-0.199,0.2
"1",0.93,0.83,-1,-0.46,1.29,1.01,-0.66,0.55,0.619,0.103,0.409,0.35
"0",-0.74,0.05,-0.03,0.07,1.52,-1.22,0.55,1.48,0.666,-0.72,0.345,0.85
"2",1.12,-0.24,0.59,-0.39,1.76,0.45,-0.15,-0.19,0.121,-0.18,0.072,0.11
"1",0.16,1.26,-1.94,-0.14,0.73,-0.23,1.01,-0.77,0.068,0.0753,0.314,0.96
"0",1.18,-1.59,0.05,0.44,0.49,-0.2,0.39,0.37,1.622,0.0048,-0.207,0.58
"2",-0.19,-0.8,0.83,1.11,-0.74,0.99,-0.36,1.26,0.169,-0.217,0.336,1.71
"2",0.7,0.39,1.66,-0.17,0.18,-0.67,-1.59,1.22,-0.219,0.715,-0.089,0.77
"0",-0.17,-0.72,0.36,0.03,-0.4,0.72,0.17,-0.22,-1.081,-0.507,-0.486,-0.28
"1",0.28,1.41,0.57,-0.24,-1.19,-0.34,-1.14,1.6,-0.15,0.586,0.008,-0.44
"0",-0.17,-0.72,0.36,0.03,-0.4,0.72,0.17,-0.22,-1.081,-0.507,-0.486,-0.28
